"","MEblue","MEcyan","MEpink","MEturquoise","MEgrey60","MEpurple","MEred","MEyellow","MEmagenta","MEblack","MEmidnightblue","MEgreen","MElightcyan","MEtan","MEgreenyellow","MEbrown","MEsalmon","MEgrey"
"mel144",-0.101802104521744,-0.039548032844637,0.00111391294393782,-0.0811432278471561,0.00652533981913121,0.127434713090237,0.162421071492904,-0.0174795913994936,0.0216526461899112,0.0567997328581728,0.072669267662228,0.102547111390747,0.0519544107673522,0.0296923727445343,-0.00329544718032769,0.0585670511315952,0.0647549149855049,0.00202985837910771
"mel146",0.0335047636741457,0.00392412905681005,0.0148986005176142,0.0191927568123633,-0.00696867810069411,-0.0171577885891398,0.0117388879141624,-0.0163232366061489,-0.035310101085629,-0.0335650146365488,-0.0391977540535173,-0.048712294384368,-0.0703675205695927,-0.0469521209827565,0.0493982849526267,-0.00912362780092559,-0.0105478046511966,-0.044262908403316
"mel408",-0.0534322718914377,0.113168143343677,0.00811955881107792,-0.00603813127480471,0.0985682729577511,0.0882009863440685,0.117681248533036,-0.0171924091225176,-0.019229024574277,0.012226184949061,0.0117145570359899,-0.0108798692731767,0.010712879511352,0.000920096955271471,0.02313595936314,0.0303768197716083,0.0180827310014593,-0.00855235433170344
"mel429",-0.0595537259174613,-0.0747172259942633,0.00151333666919896,-0.0944703956561093,0.274370748524005,0.191439031460029,0.198724445679844,0.0419028585033341,0.0427597154518456,0.115197442239205,0.0834868298203803,-0.0355671867686607,-0.0169225690685816,-0.00879252512273429,0.0151934501047697,0.0267099987414066,0.0531296122643584,-0.000181051387986149
"mel172",-0.0559888982567945,-0.119195987071963,-0.0751894535232264,-0.086568782546738,0.0229734282258976,0.10764543434054,0.145299663683313,-0.00361611386439306,-0.0126424384490656,0.0473701065448212,0.0372306489097106,0.000526078783537775,0.0686349092785129,0.052607572455634,0.0332761944131891,0.0492494546708183,0.0401887964709064,0.0071595923598678
"mel013",-0.00748613692908251,-0.00856283485473174,0.0138803115703585,0.0336519901606528,-0.00370945850787571,0.0279627488466013,0.0694664851672193,-0.0186607767810206,-0.0203012079897559,-0.0320490940139642,-0.012467822577196,-0.0372939285914263,-0.0346174794045732,-0.0269259453055265,0.0261908296908524,-0.0154899694763603,-0.00566813555566018,-0.0265245164180806
"mel096",0.0279068993100446,-0.0121026408668702,-0.00298036770891032,0.0118555261355942,-0.0128043976977376,-0.00062894695073974,0.025798468161101,-0.0289590569183396,-0.00345283305101517,0.00782428853553261,-0.00277250040668354,-0.0520901983476815,-0.0561544449267682,-0.0330989921843193,0.0445253392658247,-8.40578589622913e-05,-0.0215889425261152,-0.00742390174151638
"mel262",-0.0650303543962187,0.0413898232604656,-0.0775942679039453,-0.168213311617147,0.0341052804086346,0.00664564382265086,0.0250025992999853,-0.0565089280678827,-0.094462426585238,-0.00959209982259763,0.0627623943989299,-0.0242134794154391,-0.020682231158056,0.0699203498936593,0.0573607286139946,0.138342867218957,0.107090701232063,-0.0400685492064137
"mel251",0.0745143682477465,-0.0150547530878532,-0.0213756255333249,0.025684967941126,-0.0265495328750683,-0.0346441137090608,0.0176559087153517,-0.0543100953427103,-0.0701881351484468,-0.069932182584178,-0.0758428419136646,-0.0373858626053541,0.00273489485396939,0.0170778945133147,0.0206836603966292,-0.00234858100131781,-0.0217238914697717,-0.0478110220474277
"mel183",0.0380353365672832,-0.00333642498935179,-0.0189740120358476,-0.00767265015844296,-0.0204634654352483,-0.0330022057744788,-0.0146677595919268,-0.0447966990540463,-0.0573217356284271,-0.0731743526978061,-0.0797773822967442,0.024771933593284,0.117849643558795,0.0552373932802177,0.0320186520533731,0.0209930999951123,-0.00542209348286575,-0.00389837750158207
