"","Module","ENSEMBL","Symbol","ncbi","kTotal","kWithin","kOut","kDiff"
"ENSG00000007168","turquoise","ENSG00000007168","PAFAH1B1","5048",701.16150599379,302.670179363696,398.491326630094,-95.8211472663986
"ENSG00000007171","grey","ENSG00000007171","NOS2","4843",536.725573120846,NA,NA,NA
"ENSG00000007174","magenta","ENSG00000007174","DNAH9","1770",625.540300093608,30.7572148368353,594.783085256772,-564.025870419937
"ENSG00000007202","grey","ENSG00000007202","BLTP2","9703",584.405618816112,NA,NA,NA
"ENSG00000007216","grey60","ENSG00000007216","SLC13A2","9058",574.690947824765,9.47206411100501,565.21888371376,-555.746819602755
"ENSG00000007237","grey","ENSG00000007237","GAS7","8522",562.872948493864,NA,NA,NA
"ENSG00000007255","brown","ENSG00000007255","TRAPPC6A","79090",785.660785508194,317.378203221681,468.282582286513,-150.904379064832
"ENSG00000007264","yellow","ENSG00000007264","MATK","4145",755.83477882888,269.806049651252,486.028729177628,-216.222679526375
"ENSG00000007306","red","ENSG00000007306","CEACAM7","1087",562.434471637125,74.2129824492829,488.221489187842,-414.008506738559
"ENSG00000007312","yellow","ENSG00000007312","CD79B","974",789.43080544727,362.896755423538,426.534050023732,-63.6372946001939
"ENSG00000007314","black","ENSG00000007314","SCN4A","6329",560.276015284459,35.2244485513689,525.05156673309,-489.827118181722
"ENSG00000007341","turquoise","ENSG00000007341","ST7L","54879",570.460299963142,180.480517581643,389.979782381499,-209.499264799855
"ENSG00000007350","grey","ENSG00000007350","TKTL1","8277",518.735981556429,NA,NA,NA
"ENSG00000007372","grey","ENSG00000007372","PAX6","5080",495.935658609361,NA,NA,NA
"ENSG00000007376","brown","ENSG00000007376","RPUSD1","113000",952.644168068746,486.317814446821,466.326353621925,19.9914608248963
"ENSG00000007384","brown","ENSG00000007384","RHBDF1","64285",570.202477430984,162.100438221893,408.102039209091,-246.001600987198
"ENSG00000007392","blue","ENSG00000007392","LUC7L","55692",744.998231078217,267.194117180638,477.804113897578,-210.60999671694
"ENSG00000007402","grey","ENSG00000007402","CACNA2D2","9254",579.738151650739,NA,NA,NA
"ENSG00000007516","grey","ENSG00000007516","BAIAP3","8938",555.488349839808,NA,NA,NA
"ENSG00000007520","brown","ENSG00000007520","TSR3","115939",1018.22953880592,544.853791397228,473.375747408692,71.4780439885361
"ENSG00000007541","brown","ENSG00000007541","PIGQ","9091",871.156040852053,418.319747642248,452.836293209806,-34.5165455675581
"ENSG00000007545","tan","ENSG00000007545","CRAMP1","57585",576.444654012053,17.4761923871916,558.968461624861,-541.49226923767
"ENSG00000007866","grey","ENSG00000007866","TEAD3","7005",603.352952395297,NA,NA,NA
"ENSG00000007908","black","ENSG00000007908","SELE","6401",655.813739686477,51.2217197317176,604.592019954759,-553.370300223042
"ENSG00000007923","pink","ENSG00000007923","DNAJC11","55735",660.592356730807,56.2903617972563,604.30199493355,-548.011633136294
"ENSG00000007933","yellow","ENSG00000007933","FMO3","2328",683.361444825641,210.316541118836,473.044903706805,-262.728362587968
"ENSG00000007944","grey","ENSG00000007944","MYLIP","29116",586.702632403224,NA,NA,NA
"ENSG00000007952","blue","ENSG00000007952","NOX1","27035",646.464846804547,138.953834896614,507.511011907932,-368.557177011318
"ENSG00000007968","cyan","ENSG00000007968","E2F2","1870",579.392565696941,31.4242097224552,547.968355974485,-516.54414625203
"ENSG00000008018","grey","ENSG00000008018","PSMB1","5689",587.386860594494,NA,NA,NA
"ENSG00000008056","midnightblue","ENSG00000008056","SYN1","6853",627.695073618788,14.0657886946148,613.629284924173,-599.563496229558
"ENSG00000008083","grey","ENSG00000008083","JARID2","3720",590.139713506647,NA,NA,NA
"ENSG00000008086","turquoise","ENSG00000008086","CDKL5","6792",757.048371344405,302.632617060193,454.415754284212,-151.783137224018
"ENSG00000008118","brown","ENSG00000008118","CAMK1G","57172",550.417576093532,127.776908861422,422.64066723211,-294.863758370687
"ENSG00000008128","grey","ENSG00000008128","CDK11A","728642",606.160693714947,NA,NA,NA
"ENSG00000008130","brown","ENSG00000008130","NADK","65220",618.274761249978,203.321839961018,414.95292128896,-211.631081327942
"ENSG00000008196","red","ENSG00000008196","TFAP2B","7021",618.599060387568,41.9513514113526,576.647708976216,-534.696357564863
"ENSG00000008226","blue","ENSG00000008226","DLEC1","9940",695.994210658476,177.436035741748,518.558174916728,-341.12213917498
"ENSG00000008256","greenyellow","ENSG00000008256","CYTH3","9265",613.054647126568,38.527650630669,574.526996495899,-535.99934586523
"ENSG00000008277","turquoise","ENSG00000008277","ADAM22","53616",765.325836961867,262.198170035329,503.127666926538,-240.929496891208
"ENSG00000008282","turquoise","ENSG00000008282","SYPL1","6856",643.854887788486,234.89117236488,408.963715423606,-174.072543058726
"ENSG00000008283","brown","ENSG00000008283","CYB561","1534",581.920365950685,136.239332571191,445.681033379494,-309.441700808303
"ENSG00000008294","turquoise","ENSG00000008294","SPAG9","9043",823.317995273037,384.918954514526,438.39904075851,-53.4800862439837
"ENSG00000008300","grey","ENSG00000008300","CELSR3","1951",499.968166288814,NA,NA,NA
"ENSG00000008311","turquoise","ENSG00000008311","AASS","10157",839.17661972429,295.481809692976,543.694810031313,-248.213000338337
"ENSG00000008323","red","ENSG00000008323","PLEKHG6","55200",689.695099924383,120.7664560786,568.928643845784,-448.162187767184
"ENSG00000008324","grey","ENSG00000008324","SS18L2","51188",576.588139690309,NA,NA,NA
"ENSG00000008382","brown","ENSG00000008382","MPND","84954",827.337382716584,376.921104321888,450.416278394696,-73.4951740728081
"ENSG00000008394","grey","ENSG00000008394","MGST1","4257",537.568632757209,NA,NA,NA
"ENSG00000008405","turquoise","ENSG00000008405","CRY1","1407",848.340186025343,416.58377031679,431.756415708553,-15.1726453917621
"ENSG00000008438","grey","ENSG00000008438","PGLYRP1","8993",542.777961810639,NA,NA,NA
"ENSG00000008441","grey","ENSG00000008441","NFIX","4784",523.294855791937,NA,NA,NA
"ENSG00000008513","grey","ENSG00000008513","ST3GAL1","6482",518.56259863651,NA,NA,NA
"ENSG00000008516","yellow","ENSG00000008516","MMP25","64386",771.347259650173,319.545579276281,451.801680373892,-132.256101097611
"ENSG00000008517","yellow","ENSG00000008517","IL32","9235",1100.44610783902,637.132139069335,463.313968769684,173.818170299651
"ENSG00000008710","grey","ENSG00000008710","PKD1","5310",571.726943296183,NA,NA,NA
"ENSG00000008735","brown","ENSG00000008735","MAPK8IP2","23542",565.586318808557,143.573761272073,422.012557536483,-278.43879626441
