"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","entrez_symbol"
"ENSG00000166676",0.0141045111576535,-0.585827977190298,0.0944566890358114,0.924791448849928,0.95413637967197,-7.05702294352614,"TVP23A","780776"
"ENSG00000232273",0.0126057015410908,-4.10955502286918,0.0944311253746146,0.924811742634017,0.95413637967197,-6.94896918633635,NA,NA
"ENSG00000214535",-0.0080847588654197,0.0283537058499439,-0.0943836653002027,0.924849419077307,0.95413637967197,-7.09313170900449,"RPS15AP1","92682"
"ENSG00000144040",0.00822719917954862,3.61273401423924,0.0943436497326841,0.924881185788961,0.95413637967197,-7.4532648698468,"SFXN5","94097"
"ENSG00000214485",-0.0119512197161558,0.704146985859308,-0.0943291429044961,0.92489270219232,0.95413637967197,-7.14180509087155,"RPL7P1","6174"
"ENSG00000270959",-0.01059151726889,1.30401807909571,-0.0942584371308193,0.924948832965955,0.954159159164748,-7.19346272768472,"LPP-AS2","339929"
"ENSG00000230580",0.0116181864877514,-3.38722497211198,0.0942188241780326,0.924980280429994,0.954159159164748,-6.96396929757381,"RPL19P5","646532"
"ENSG00000157933",0.00674826284545293,6.99136754231052,0.0941658328831857,0.925022348718484,0.95416877264964,-7.78813513789205,"SKI","6497"
"ENSG00000228793",0.0155998069954009,-1.34838919185127,0.0940117943979303,0.925144636704603,0.954234904010297,-7.02477216474247,"LOC100507336","100507336"
"ENSG00000239622",0.0162770776365733,-4.80145844174398,0.094000270721923,0.925153785185437,0.954234904010297,-6.93914835271078,NA,NA
"ENSG00000224238",-0.0186585157196237,-4.34327153456893,-0.0939613130614329,0.925184713185986,0.954234904010297,-6.94553018875764,NA,NA
"ENSG00000057935",0.00616305847919119,5.2423208404997,0.0936015721626209,0.925470312352779,0.954466845857376,-7.63671571412361,"MTA3","57504"
"ENSG00000260296",0.0155058323523938,-1.13082231427511,0.0935955266672537,0.925475111968587,0.954466845857376,-7.03309079894738,NA,NA
"ENSG00000234616",-0.00980781280830456,5.10859606512632,-0.0934254868303106,0.925610110438843,0.954567683008891,-7.623367205789,"JRK","8629"
"ENSG00000175513",-0.0205023075192048,-3.21681436754217,-0.0933898404521883,0.925638411176901,0.954567683008891,-6.96852074023336,"TSGA10IP","254187"
"ENSG00000165309",-0.0252551280932094,-3.34504139004358,-0.0933068367226983,0.925704310714894,0.954570562686803,-6.96551847669623,"ARMC3","219681"
"ENSG00000087086",-0.0101624408576022,11.4983458216106,-0.0933037911063138,0.925706728745044,0.954570562686803,-8.0867154398668,"FTL","2512"
"ENSG00000086475",0.00584517849047028,5.44974925550146,0.0930363933554609,0.92591902862505,0.954755691464448,-7.65679293165589,"SEPHS1","22929"
"ENSG00000253544",-0.0166374133893648,-5.59556640532532,-0.0929839587426863,0.925960659596532,0.954764829175233,-6.93063415318642,"C1GALT1P3","106481730"
"ENSG00000125388",-0.00687933453645595,2.3530593348373,-0.0925448742660337,0.926309282967402,0.955090497152602,-7.30023147971537,"GRK4","2868"
"ENSG00000277053",-0.00831946088786739,0.626024532726727,-0.092381161294657,0.926439271086538,0.955190721624168,-7.13533946391447,NA,NA
"ENSG00000170745",-0.0204003911550554,2.90633952636598,-0.0921213277357473,0.926645583008186,0.955330532064336,-7.3650588509266,"KCNS3","3790"
"ENSG00000281530",0.0135847838257819,-4.25054634792277,0.0920938364423911,0.926667411816167,0.955330532064336,-6.94687929798816,NA,NA
"ENSG00000271850",-0.0232315833002739,-4.72646912077109,-0.0920859526836658,0.926673671737595,0.955330532064336,-6.94051670632102,"LINC02343","105370158"
"ENSG00000279444",0.0161794041648777,-5.72555408426253,0.0920452034036303,0.926706027860184,0.955330532064336,-6.92926543360264,NA,NA
"ENSG00000268355",-0.0196098975574972,-2.10679782440258,-0.0919980643835918,0.926743457775351,0.955335316506603,-7.0002585563712,NA,NA
"ENSG00000205740",0.0133232754754362,-1.43334381913278,0.091760692990371,0.926931940853202,0.955459840596487,-7.02190320498525,NA,NA
